feature,importance
curr_vs_recent_ratio,-0.013491592847307388
recent_trx_months_active,-0.01770534500206722
max_drawdown_count,-0.027377821539128933
acceleration_count,-0.027784831690440992
momentum_count_1m,-0.02812001652093321
stability_sum,-0.02833549248339251
recovery_sum,-0.02835943425699905
recent_trx_amount_cv,-0.0283833760306057
geo_diversity_ratio,-0.02845520135142543
geo_hour_std,-0.02845520135142543
momentum_count_2m,-0.028718560861097808
skewness_count,-0.02874250263470457
dialog_months,-0.02874250263470457
dialog_emb_3,-0.02876644440831111
curr_trx_event_types,-0.02883826972913084
trend_sum_slope,-0.02883826972913084
dialog_emb_8,-0.028862211502737267
dialog_emb_6,-0.028862211502737378
dialog_emb_5,-0.02891009504995068
dialog_emb_9,-0.02893403682355733
geo_geohash_5_concentration,-0.02895797859716387
geo_entropy,-0.02895797859716387
dialog_emb_1,-0.029005862144376948
dialog_emb_norm,-0.029053745691590138
recent_trx_amount_max,-0.02907768746519679
recent_trx_amount_mean,-0.02907768746519679
geo_geohash_5_unique,-0.029101629238803217
dialog_emb_2,-0.029101629238803328
geo_night_ratio,-0.029149512786016407
geo_mobility,-0.029149512786016407
curr_trx_amount_std,-0.029149512786016518
curr_trx_amount_sum,-0.029149512786016518
recent_trx_amount_sum,-0.029149512786016518
momentum_sum_1m,-0.029149512786016518
curr_trx_amount_mean,-0.029173454559623058
dialog_count,-0.02917345455962317
recent_trx_amount_min,-0.02917345455962317
momentum_sum_2m,-0.02917345455962317
geo_geohash_6_unique,-0.02917345455962317
volatility_sum,-0.02917345455962317
dialog_emb_0,-0.029221338106836248
curr_trx_count,-0.029221338106836248
recent_trx_count,-0.029221338106836248
geo_weekend_ratio,-0.029221338106836248
volatility_count,-0.029221338106836248
geo_count,-0.029221338106836248
geo_geohash_4_unique,-0.029221338106836248
dialog_emb_4,-0.02922133810683636
geo_evening_ratio,-0.029245279880442898
cv_count,-0.029269221654049438
recent_trx_amount_std,-0.02926922165404955
dialog_emb_7,-0.029317105201262628
stability_count,-0.029317105201262628
curr_trx_days_active,-0.029388930522082468
recent_trx_days_active,-0.029460755842902087
geo_geohash_6_concentration,-0.029484697616508626
geo_months_active,-0.029484697616508737
kurtosis_count,-0.029508639390115388
recent_weekend_ratio,-0.029556522937328467
cv_sum,-0.029652290031754847
geo_geohash_4_concentration,-0.029652290031754847
geo_morning_ratio,-0.029700173578968037
recent_trx_event_types,-0.029724115352574576
trend_count_slope,-0.029724115352574687
autocorr_count,-0.029748057126181227
recent_morning_ratio,-0.029795940673394306
recent_evening_ratio,-0.029987474862247065
max_drawdown_sum,-0.030155067277493286
recovery_count,-0.030298717919132745
trend_count_r2,-0.030801495164871184
trend_sum_r2,-0.031184563542576482
